order_number,category,note,link
3008155879,Vrátenie tovaru zákazníkom,"B2B klientka (Rolli Polli, HU) reklamovala Grip Sticks — produkt nefungoval podľa očakávania. GymBeam poslal kuriéra na vyzdvihnutie, po prijatí tovaru na sklade spustil refundáciu.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=XNW-XFLNT-554
3004130575,Vrátenie tovaru zákazníkom,Zákazníčka vrátila tovar z objednávky a poslala číslo účtu na vrátenie peňazí. Z avizovaných dvoch kusov sa napokon vrátil jeden (dámske legíny). Podpora potvrdila prijatie zásielky a platbu odoslala.,https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=WJB-HHRMX-958
2009683923,Chýbajúci alebo poškodený tovar,"B2B partner (GymForce, CZ) reklamoval masážnu pištoľ VI BLACK — nefunkčné tlačidlo POWER, prístroj sa nedal zapnúť. GymBeam zaslal kuriéra na vyzdvihnutie, po spracovaní na sklade vystavil dobropis.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=CCH-XHXWH-036
25001221994,Oneskorenie a komunikácia,"V rannom logistickom reporte medzi zásielkami, ktoré neboli nachystané v deadline.",https://gymbeamteam.slack.com/archives/C03AF2BHA69/p1702535249612539
2010504297,Chýbajúci alebo poškodený tovar,"Deň po objednávke sa sklad pýtal, prečo je stále v stave processing (k dobropisu to nesúviselo). Skutočná príčina dobropisu: B2B partner (SmartNakup, CZ) reklamoval masážnu pistoľ VI Black — vadný váleček masážnej hlavice sa prepadával a nedal sa pevne zaistiť. GymBeam tovar vrátil vratkovým kódom cez Packetu, vystavil dobropis a neskôr potvrdil odoslanie platby.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=JZH-NKPZQ-519
2003419143,Bez zistenej príčiny,,
17001339438,Chýbajúci alebo poškodený tovar,"B2B partner (Dr.Max PL) reklamoval poškodený produkt v dodávke, doložil fotky. GymBeam vystavil korekčnú faktúru (dobropis) a poslal žiadosť na finančné oddelenie na vrátenie peňazí.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=MJH-BLNLC-937
2011126071,Chýbajúci alebo poškodený tovar,"B2B klient reklamoval Water Bag (z troch kúpených) — netesnil okolo viečka. Po zaslaní videa GymBeam vystavil dobropis a vrátil peniaze na účet.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=FVX-RXPGM-073
1005172649,Nerelevantné,"Objednávka z internej adresy @gymbeam.com, celá dobropisovaná v ten istý deň. Testovacia alebo omylom vytvorená.",
17004231903,Chýbajúci alebo poškodený tovar,V sklade rozdelená na 5 samostatných balíkov (InPost). Rozdelená zásielka je typický zdroj chýbajúceho tovaru.,https://gymbeamteam.slack.com/archives/C082Y9CQWAG/p1741007127659459
4007721716,Chýbajúci alebo poškodený tovar,"B2B klient (Body Dream Xperience SRL, RO) reklamoval proteínové tyčinky MoiMüv kúpené na ďalší predaj — príliš krátka expirácia (19ks do 07.09.2025, 6ks do 08.12.2025) a časť tovaru mala kyslú/skazenú chuť napriek platnej dobe spotreby. GymBeam preplatil hodnotu tovaru + 25 lei voucher, vystavil dobropis.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=DGG-DBGJS-415
4002631676,Vrátenie tovaru zákazníkom,"B2B objednávka (Codeproof SRL) — tričko bolo väčšie ako potrebovala, zákazníčka ho vrátila kuriérom. Refundáciu skomplikoval nevyzdvihnutý prvý pokus (bola v nemocnici), po druhom pokuse GymBeam tovar prevzal a spustil vrátenie peňazí.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=BJX-JBJCF-608
1700212131,Vrátenie tovaru zákazníkom,"B2B objednávka (Zielarnia Warmińska, PL) — zákazníčka vrátila kolagény, GymBeam refundáciu spracoval do ~30 dní od doručenia. Popri tom urgovala faktúru k objednávke, ktorú systém vygeneruje automaticky až s odstupom po dodaní.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=SDG-BJNJM-471
1005446873,Administratíva a fakturácia,K objednávke priamo nič. Neskôr sa riešil problém s prihlásením do B2B portálu — Odoo firmu stále prihlasovalo na starý subjekt.,https://gymbeamteam.slack.com/archives/C020XMWRDV0/p1711618004729709
401951717,Bez zistenej príčiny,,
401545001,Bez zistenej príčiny,,
11001300267,Chýbajúci alebo poškodený tovar,"Dostal 5 zo 6 balíkov. Jeden sa v sklade SPS pomiešal na inú paletu, nemal tracking a nedal sa dohľadať ani znovu odoslať.",https://gymbeamteam.slack.com/archives/CCQ9BU8P4/p1720526436449399
1006083704,Chýbajúci alebo poškodený tovar,"B2B klient (Tripsy) reklamoval Vitamín C 100mg — z objednaných 336ks prišlo len 316ks, doložil fotku. GymBeam vystavil dobropis na chýbajúcich 20ks.",https://gymbeam.ladesk.com/agent/index.php?rnd=5500#Conversation;code=ZMS-RQXWF-199
